_id,singkat,hasil
259,compliment,pujian
260,compose,menyusun
261,computing,menghitung
262,comunity,komunita
263,comunityny,komunitanya
264,concept,konsep
265,concert,konser
266,condition,kondisi
267,conditioning,mengkondisikan
268,conect,menghubungkan
269,conection,koneksi
270,confident,yakin
271,configuration,susunan
272,confirm,konfirmasi
273,confius,bingung
274,confuse,bingung
275,confused,bingung
276,congralts,(ucapan) selamat
277,Congrat,(ucapan) selamat
278,congrate,(ucapan) selamat
279,congrats,(ucapan) selamat
280,consept,konsep
281,consider,mempertimbangkan
282,consult,berunding
283,consultants,konsultan
284,consumer,konsumen
285,contac,kontak
286,contact,kontak
287,content,isi
288,contest,kontes
289,contoe,contohnya
290,contra,kontra
291,contract,kontrak
292,control,kontrol
293,convention,konvensi
294,Convoy,konvoi
295,cook,memasak
296,copas,copy paste
297,copot,lepas
298,corner,sudut
299,corners,sudut
300,corola,corolla
301,correction,koreksi
302,corridor,koridor
303,cosmetics,kosmetik
304,cost,ongkos
305,costs,ongkos
306,costum,kostum
307,could,dapat
308,council,dewan
309,countdown,perhitungan detik-detik terakhir
310,counter,alat perhitungan
311,country,negara
312,countryside,daerah pedalaman
313,couple,pasangan
314,cousin,sepupu
315,cow,cowok
316,cowo,cowok
317,cpt,cepat
318,cr,cara
319,crazy,gila
320,cri,cari
321,crt,cerita
322,crtx,ceritanya
323,cucok,cocok
324,cukop,cukup
325,cuman,cuma
326,cumn,hanya
327,curcol,curhat
328,cwek,cewek
329,cwo,cowok
330,cwok,cowok
331,cyus,serius
332,dah,sudah
333,dalan,jalan
334,dangerous,bahaya
335,dasyat,dahsyat
336,date,tanggal
337,dateng,datang
338,datenglah,datanglah
339,day,hari
340,dbls,dibalas
341,dbnt,dibantu
342,ddlm,didalam
343,dduk,duduk
344,defence,pertahanan
345,defend,membela
346,deg2an,deg-degan
347,degdeg,deg-degan
348,degdeg-an,deg-degan
349,degdegan,deg-degan
350,degdegser,deg-degan
351,deket,dekat
352,desek2an,desak-desakan
353,desekan,desakan
354,dewe,sendiri
355,dftar,daftar
356,dg,dengan
357,dgn,dengan
358,dgr,dengar
359,dgrin,dengarkan
360,dgrn,dengarkan
361,dh,sudah
362,dibangain,dibanggakan
363,dibls,dibalas
364,digangu,diganggu
365,diizinin,diberi izin
366,dikasi,dikasih
367,dikasinya,dikasihnya
368,dikit,sedikit
369,dikls,di kelas
370,diliat,dilihat
371,diluk,sebentar
372,dimana2,dimana-mana
373,dimkn,dimakan
374,dimksd,dimaksud
375,dimn2,dimana-mana
376,dimna,dimana
377,dinstal,diinstall
378,dipake,dipakai
379,dipangilnya,dipanggilnya
380,dipke,dipakai
381,disawat,dilempar
382,disblah,disebelah
383,discon,diskon
384,discont,diskon
385,discount,diskon
386,disebrang,diseberang
387,disebuah,disebuah
388,disekolah,di sekolah
389,disekolahan,di sekolahan
390,disekolahin,disekolahkan
391,diselengarakan,diselenggarakan
392,diselimutin,diselimuti
393,disenayan,di senayan
394,disenen,di senen
395,disentul,di sentul
396,diservice,diservis
397,dishub,Dinas Perhubungan
398,dishubkominfo,Dinas Perhubungan Komunikasi dan Informatika
399,disi,diisi
400,disia2in,disia-siakan
401,disimpen,disimpan
402,disimpng,disimpang
403,disinih,disini
404,disklh,di sekolah
405,diskonnye,diskonnya
406,diskony,diskonnya
407,diskonya,diskonnya
408,Diskonye,diskonnya
409,disni,disini
410,disono,disana
411,disonoh,disana
412,distribution,distribusi
413,district,daerah
414,distroy,hancur
415,disturb,ganggu
416,disurga,di surga
417,disurh,disuruh
418,disuru,disuruh
419,ditabra,ditabrak
420,ditaktir,ditraktir
421,ditaman,di taman
422,ditambahin,ditambahkan
423,ditanah,di tanah
424,ditangepin,ditanggapin
425,ditanggepin,ditanggapin
426,ditangkep,ditangkap
427,ditangkepinnya,ditangkapinnya
428,ditangkepinya,ditangkapinnya
429,ditangung,ditanggung
430,ditaro,ditaruh
431,ditarok,ditaruh
432,ditelen,ditelan
433,ditemeni,ditemani
434,ditemenin,ditemani
435,diteraktir,ditraktir
436,ditingal,ditinggal
437,ditingali,ditinggali
438,ditingikan,ditinggikan
439,ditkarkan,ditukarkan
440,ditlp,ditelepon
441,ditmpt,di tempat
442,ditngah,ditengah
443,ditngguin,ditungguin
444,ditnguin,ditunggu
445,ditnjkn,ditunjukkan
446,ditoko,di toko
447,ditrakter,ditraktir
448,ditrotoar,di trotoar
449,ditugu,di tugu
450,dituker,ditukar
451,ditukoke,dibelikan
452,ditukokno,dibelikan
453,ditumbasne,dibelikan
454,ditumpaki,dinaiki
455,diTunas,di tunas
456,ditunggu2,ditunggu-tunggu
457,ditungu,ditunggu
458,ditungu2,ditunggu-tunggu
459,ditunguin,ditunggu
460,ditunjukan,ditunjukkan
461,ditunjukin,ditunjukkan
462,diturunkn,diturunkan
463,diwarnet,di warnet
464,diweekend,di akhir pekan
465,diwolak,dibalik
466,djagain,dijaga
467,djemput,dijemput
468,dJkt,di Jakarta
469,djln,di jalan
470,dkasih,dikasih
471,dkat,dekat
472,dkatkan,dekatkan
473,dket,dekat
474,dketan,dekat
475,dkit,sedikit
476,dkk,dan kawan-kawan
477,dklinikk,di klinik
478,dkluarin,dikeluarkan
479,dkmps,di kampus
480,dkomplain,dikomplain
481,dksh,dikasih
482,dkt,dekat
483,dkung,dukung
484,dl,dulu
485,dlakukan,dilakukan
486,dlakukn,dilakukan
487,dlam,dalam
488,dlanjutin,dilanjutkan
489,dliat,dilihat
490,dliburkan,diliburkan
491,dll,dan lain-lain
492,dlm,dalam
493,dlnjutin,dilanjutkan
494,dlu,dulu
495,dluan,duluan
496,dmainkan,dimainkan
497,dmakan,dimakan
498,dmam,demam
499,dmamX,demamnya
500,dman,dimana
501,dmana,dimana
502,dminta,diminta
503,dmn,dimana
504,dmna,dimana
505,dmna2,dimana-mana
506,dmnanya,dimananya
507,dmnnya,dimananya
508,dmno,dimana
509,dmnt,diminta
510,dmnya,dimananya
511,dmobil,di mobil
512,dmonas,di monas
513,dmtr,di motor
514,dn,dan
515,dng,dengan
516,dngan,dengan
517,dnger,dengar
518,dnger2,denga-dengar
519,dngerin,dengarkan
520,dnggo,dipakai
521,dngin,dingin
522,dnginan,dinginan
523,dngn,dengan
524,doain,doakan
525,doane,doanya
526,doang,saja
527,doank,saja
528,dolali,pada lupa
529,dolan,bermain
530,donload,unduh
531,donlod,unduh
532,donlot,unduh
533,dont,jangan
534,dpat,dapat
535,dpatkan,dapatkan
536,dpet,dapat
537,dpn,depan
538,dpstikn,dipastikan
539,dpt,dapat
540,dr,dari
541,dri,dari
542,dripada,daripada
543,dripd,daripada
544,drmh,di rumah
545,drmn,darimana
546,drpd,daripada
547,drtd,daritadi
548,dsana,disana
549,dsar,dasar
550,dsb,dan sebagainya
551,dsini,disini
552,dsitu,disitu
553,dskolah,di sekolah
554,dsktr,di sekitar
555,dsmber,desember
556,dsna,disana
557,dsni,disini
558,dsno,disana
559,dsruh,disuruh
560,dst,dan seterusnya
561,dtang,datang
562,dteng,datang
563,dtg,datang
564,dtgin,datangin
565,dturunkn,diturunkan
566,duitna,duitnya
567,during,selama
568,duwe,punya
569,duwit,duit
570,dy,dia
571,elo,kamu
572,elu,kamu
573,emg,emang
574,emng,emang
575,emoh,tidak mau
576,endiri,sendiri
577,endonesa,Indonesia
578,enelaan,beneran
579,engak,tidak
580,engga,tidak
581,enggk,tidak
582,engk,tidak
583,enk,enak
584,enough,cukup
585,entar,nanti
586,enteng,ringan
587,enyak,enak
588,etc,dan lain-lain
589,event,acara
590,every,setiap
591,everybody,semua orang
592,everything,segala sesuatu
593,everywhere,dimanapun
594,ex,contoh
595,excelent,bagus
596,exit,keluar
597,face,muka
598,fact,fakta
599,failed,gagal
600,father,ayah
601,fee,biaya
602,ferari,ferrari
603,filem,film
604,finally,akhirnya
605,focus,fokus
606,folback,follow back
607,folbacknya,follow back nya
608,folbc,follow back
609,folbcak,follow back
610,folbek,follow back
611,folbeknya,follow back nya
612,follback,follow back
613,follbacknya,follow back nya
614,follbc,follow back
615,follo,follow
616,followbak,follow back
617,folo,follow
618,folow,follow
619,folowback,follow back
620,folowbak,follow back
621,folowbcak,follow back
622,football,sepak bola
623,for,untuk
624,forged,lupa
625,forget,lupa
626,forgot,lupa
627,foto2,foto-foto
628,friday,jumat
629,friend,teman
630,frofil,profil
631,from,dari
632,function,fungsi
633,funny,lucu
634,funtion,fungsi
635,funy,lucu
636,g,tidak
637,ga,tidak
638,gaada,tidak ada
639,gaakan,tidak akan
640,gaasik,tidak asik
641,gabakal,tak akan
642,gabareng,tidak bareng
643,gabebas,tidak bebas
644,gabeda,tidak beda
645,gaberani,tidak berani
646,gabilang,tidak bilang
647,gabisa,tidak bisa
648,gabole,tidak boleh
649,gaboleh,tidak boleh
650,gabosen,tidak bosen
651,Ga,tidak ada
652,gabs,tidak bisa
653,gad,tidak ada
654,gada,tidak ada
655,gadaiin,gadaikan
656,Gadapet,tidak dapat
657,gadein,gadaikan
658,gadeket,tidak dekat
659,gadiajak,tidak diajak
660,gadibales,tidak dibalas
661,gae,membuat
662,gaean,pekerjaan
663,gaenak,tidak enak
664,gaene,biasanya
665,gag,tidak
666,gahoel,gaul
667,gahol,gaul
668,gaikut,tidak ikut
669,gaikutaaan,tidak ikutan
670,gaikutan,tidak ikutan
671,gaiso,tidak bisa
672,gajadi,tidak jadi
673,gajalan,tidak jalan
674,gajanji,tidak janji
675,gajauh,tidak jauh
676,Gajd,tidak jadi
677,Gaje,tidak jelas
678,gajelas,tidak jelas
679,gajenguk,tidak menjenguk
680,gak,tidak
681,gakada,tidak ada
682,Gakan,tidak akan
683,gakbilang,tidak bilang
684,gakbisa,tidak bisa
685,gakdeh,tidak deh
686,gakenak,tidak enak
687,gakjadi,tidak jadi
688,gakmau,tidak mau
689,gakpapa,tidak apa-apa
690,gakpenting,tidak penting
691,gakpernah,tidak pernah
692,gaksabar,tidak sabar
693,gaksemua,tidak semua
694,gaksih,tidak sih
695,gaktau,tidak tau
696,gaktuh,tidah tuh
697,gamain,tidak main
698,gamales,tidak malas
699,gamao,tidak mau
700,gamasuk,tidak masuk
701,gamau,tidak mau
702,gamsk,tidak masuk
703,gamuat,tidak muat
704,gamungkin,tidak mungkin
705,gan,juragan
706,gangajak,tidak mengajak
707,Gangerti,tidak mengerti
708,ganguin,gangguin
709,gantiin,gantikan
710,gantinen,ganti saja
711,gaosah,tidak usah
712,gapada,tidak pada
713,gapaham,tidak paham
714,gapake,tidak pakai
715,gapapa,tidak apa-apa
716,gapercaya,tidak percaya
717,gaperlu,tidak perlu
718,gapernah,tidak pernah
719,gapo,tidak apa-apa
720,gaptek,gagap teknologi
721,gapulang,tidak pulang
722,gara2,gara-gara
723,gasabar,tidak sabar
724,gasalah,tidak salah
725,gasanggup,tidak sanggup
726,gasecerah,tidak secerah
727,gasedingin,tidak sedingin
728,gasekeras,tidak sekeras
729,gaseru,tidak seru
730,gasia2,tidak sia-sia
731,gasih,tidak sih
732,gasik,datang lebih awal
733,gasuka,tidak suka
734,gatau,tidak tau
735,gatel,gatal
736,gathel,gatal
737,gatuh,tidak tuh
738,Gausa,tidak usah
739,gausah,tidak usah
740,gaush,tidak usah
741,gawake,bawakan
742,gawakne,bawakan
743,gayalu,gayamu
744,gbawa,tidak bawa
745,gbk,Gelora Bung Karno
746,gblg,tidak bilang
747,gblk,tidak balik
748,gbs,tidak bisa
749,gbsa,tidak bisa
750,gda,tidak ada
751,gebetan,pasangan
752,gebetn,pasangan
753,geblek,bodoh
754,gede,besar
755,gedenya,besarnya
756,gedhe2an,besar-besaran
757,gelem,bersedia
758,gelo,gila
759,gendeng,bodoh
760,gendheng,bodoh
761,gendud,gemuk
762,geto,begitu
763,getoh,begitu
764,gg,tidak
765,gilak,gila
766,gile,gila
767,gimana,bagaimana
768,gimane,bagaimana
769,gimna,bagaimana
770,gini,begini
771,gitu,begitu
772,gituan,begituan
773,gituh,begitu
774,gjd,tidak jadi
775,gjdi,tidak jadi
776,gjls,tidak jelas
777,gjnji,tidak janji
778,gk,tidak
779,gmbr,gambar
780,gmn,bagaimana
781,gmna,bagaimana
782,gmne,bagaimana
783,gnti,ganti
784,goceng,lima ribu
785,godan,godaan
786,good luck,semoga berhasil
787,goodmorning,selamat pagi
788,goro2,gara-gara
789,gpl,tidak pakai lama
790,gpp,tidak-apa-apa
791,gpplah,tidak apa-apalah
792,gr2,gara-gara
793,gra,gara-gara
794,grade,tingkat
795,gt,begitu
796,gtu,begitu
797,gtw,tidak tau
798,gunakn,gunakan
799,gua,saya
800,gue,saya
801,gueh,saya
802,guweh,saya
803,gw,saya
804,gwe,saya
805,gx,tidak
806,gy,sedang
807,hany,hanya
808,hape,hp
809,hapi,senang
810,happy,senang
811,happybday,selamat ulang tahun
812,hareem,perempuan
813,harg,harga
814,hargnya,harganya
815,hargonyo,harganya
816,hasek,asyik
817,hawong,lhawong
818,hbd,selamat ulang tahun
819,hbs,habis
820,hdiah,hadiah
821,hdiahnya,hadiahnya
822,hdirkan,hadirkan
823,hdp,hidup
824,hdpn,hadapan
825,hdup,hidup
826,heng,error
827,hidp,hidup
828,hidpmu,hidupmu
829,hinga,hingga
830,hmpas,hempas
831,hmpir,hampir
832,hntu,hantu
833,hny,hanya
834,hnya,hanya
835,Hoam,ngantuk
836,honest,jujur
837,hr,hari
838,hrap,harap
839,hrapan,harapan
840,hrg,harga
841,hrga,harga
842,hrgnya,harganya
843,hri,hari
844,hrs,harus
845,hrsnya,harusnya
846,hrus,harus
847,hrz,harus
848,hsil,hasil
849,hsl,hasil
850,htelnya,hotelnya
851,htiku,hatiku
852,hub,hubungi
853,hungry,lapar
854,ibdah,ibadah
855,idung,hidung
856,ijin,izin
857,ijo,hijau
858,iki,ini
859,ikt,ikut
860,iktan,ikutan
861,iktn,ikutan
862,ikud,ikut
863,ilkom,ilmu komputer
864,ilang,hilang
865,img,gambar
866,inbox,kotak masuk
867,inceran,incaran
868,include,termasuk
869,indh,indah
870,indo,indonesia
871,info,informasi
872,infonya,informasinya
873,information,informasi
874,informkan,informasikan
875,infox,informasinya
876,inget,ingat
877,inginya,inginnya
878,ingt,ingat
879,ingtn,ingatan
880,inovation,inovasi
881,inpo,informasi
882,inpoh,informasi
883,insaallah,insyaAllah
884,insyaa,insyaAllah
885,insyaaloh,insyaAllah
886,insyah,insyaAllah
887,insyalah,insyaAllah
888,intrnet,internet
889,invit,mengajak
890,invite,mengajak
891,invte,mengajak
892,io,iya
893,ireng,hitam
894,iseh,masih
895,isih,masih
896,isin,malu
897,isine,isinya
898,iso,bisa
899,isteri,istri
900,istrht,istirahat
901,isuk,pagi
902,itung,hitung
903,iy,iya
904,iyadah,iya dah
905,iyadeh,iya dah
906,iyadong,iya dong
907,iyadund,iya dong
908,iyah,iya
909,iyanih,iya nih
910,iyasih,iya sih
911,iyaw,iya
912,iye,iya
913,iyedah,iya dah
914,iyelah,iyalah
915,iyeu,iya
916,iyh,iya
917,iyo,iya
918,iyosih,iya sih
919,iyuh,iya
920,iyuwh,iya
921,j,saja
922,ja,saja
923,jabar,Jawa Barat
924,jadina,jadinya
925,jadinye,jadinya
926,jadul,jaman dulu
927,jadwalnye,jadwalnya
928,jahate,jahatnya
929,jakpus,Jakarta Pusat
930,jakrta,Jakarta
931,jaksel,Jakarta Selatan
932,jaktim,Jakarta Timur
933,jalan2,jalan-jalan
934,jalankn,jalankan
935,jalanya,jalannya
936,jamanna,jamannya
937,jamanny,jamannya
938,jamany,jamannya
939,jamanya,jamannya
940,jamanye,jamannya
941,jangn,jangan
942,japan,jepang
943,jare,kata
944,jaringanx,jaringannya
945,jaringn,jaringan
946,jateng,Jawa Tengah
947,jatoh,jatuh
948,jaz,jazz
949,jd,jadi
950,jdi,jadi
951,jdian,jadian
952,jenenge,namanya
953,jenengi,beri nama
954,jep,jeep
955,jg,juga
956,jga,juga
957,jgja,jogja
958,jgn,jangan
959,jgn2,jangan-jangan
960,jgnkan,jangankan
961,jht,jahat
962,jjur,jujur
963,jk,jika
964,jkrt,Jakarta
965,jkrta,Jakarta
966,jkt,Jakarta
967,jl,jalan
968,jlan2,jalan-jalan
969,jlas,jelas
970,jln,jalan
971,jln2,jalan-jalan
972,jls,jelas
973,jmbatan,jembatan
974,jmbtan,jembatan
975,jmin,jamin
976,jmlh,jumlah
977,jmn,jaman
978,jmpa,jumpa
979,jmpe,jumpa
980,jmpt,jemput
981,jmptnya,jemputnya
982,jo,jangan
983,jobseeker,pencari kerja
984,jri,jari
985,jringan,jaringan
986,jringn,jaringan
987,jrngn,jaringan
988,jtuh,jatuh
989,jua,juga
990,jug,juga
991,jugaj,juga
992,jugak,juga
993,jugo,juga
994,jwb,jawab
995,jwban,jawaban
996,jwbanny,jawabannya
997,jwbannya,jawabannya
998,jwbany,jawabannya
999,kabare,kabarnya
1000,kabeh,semua
1001,kacian,kasihan
1002,kadieu,kesini
1003,kaditu,kesitu
1004,kaga,tidak
1005,kagak,tidak
1006,kagk,tidak
1007,kakean,kebanyakan
1008,kale,kali
1009,kalo,kalau
1010,kalu,kalau
1011,kapn,kapan
1012,kapolres,Kepala Kepolisian Resor
1013,karepmu,terserah kamu
1014,karna,karena
1015,karo,sama
1016,kaseep,ganteng
1017,kasi,kasih
1018,kasian,kasihan
1019,kata2,kata-kata
1020,kata2nya,kata-katanya
1021,katane,katanya
1022,katany,katanya
1023,kayak,seperti
1024,kbagusan,kebagusan
1025,kbar,kabar
1026,kbare,kabarnya
1027,kbarin,kabari
1028,kbeh,semua
1029,kbeli,terbeli
1030,kberngktn,keberangkatan
1031,kbhagiaan,kebahagiaan
1032,kbhagian,kebahagiaan
1033,kbr,kabar
1034,kbrin,kabari
1035,kbrnya,kabarnya
1036,kbtulan,kebetulan
1037,kbuka,terbuka
1038,kbun,kebun
1039,kcepatn,kecepatan
1040,kcil,kecil
1041,kcintaan,kecintaan
1042,kcintan,kecintaan
1043,kclakaan,kecelakaan
1044,kclakan,kecelakaan
1045,kcmata,kacamata
1046,kdepannya,kedepannya
1047,kdepanya,kedepannya
1048,kdg,terkadang
1049,kdg2,kadang-kadang
1050,kditu,kesitu
1051,kdlm,kedalam
1052,kdpan,kedepan
1053,kebeli,terbeli
1054,kebengkel,ke bengkel
1055,kebersamanya,kebersamaannya
1056,kebersehan,kebersihan
1057,kebnykn,kebanyakan
1058,kebo,kerbau
1059,kebrngkatan,keberangkatan
1060,kebudayan,kebudayaan
1061,kebulan,ke bulan
1062,kebumi,ke bumi
1063,kebut2an,kebut-kebutan
1064,kebwah,kebawah
1065,kecawa,kecewa
1066,kece,gaul
1067,kecel,capek
1068,kecelakaanya,kecelakaannya
1069,kecelakan,kecelakaan
1070,kecelakanya,kecelakaannya
1071,kecengan,pasangan
1072,kecepean,kecapean
1073,kecepetan,terlalu cepat
1074,kecerian,keceriaan
1075,kecian,kasihan
1076,kecimanggis,ke cimanggis
1077,kecimangis,ke cimanggis
1078,kecipondoh,ke cipondoh
1079,kedaerah,ke daerah
1080,kedatanganya,kedatangannya
1081,kedatengan,kedatangan
1082,kedawan,terlalu panjang
1083,kedeketan,terlalu dekat
1084,kedengeran,kedengaran
1085,kedpn,kedepan
1086,kedpnnya,kedepannya
1087,kedpnya,kedepannya
1088,kedtngan,kedatangan
1089,kedufan,ke dufan
1090,keenaken,keenakan
1091,kegedean,terlalu besar
1092,kegeden,terlalu besar
1093,kegembiran,kegembiraan
1094,kehadiranny,kehadirannya
1095,kehulu,ke hulu
1096,kehutan,ke hutan
1097,keidahan,keindahan
1098,keiklasan,keikhlasan
1099,keilangan,kehilangan
1100,keinget,teringat
1101,keinginanya,keinginannya
1102,keistimewan,keistimewaan
1103,keitung,terhitung
1104,kejadia,kejadian
1105,kejakarta,ke Jakarta
1106,kejar2an,kejar-kejaran
1107,kejauan,kejauhan
1108,kejayan,kejayaan
1109,kejepit,terjepit
1110,kejual,terjual
1111,kejuaran,kejuaraan
1112,kek,seperti
1113,kekalemanya,kekalemannya
1114,kekamar,ke kamar
1115,kekampus,ke kampus
1116,kekandang,ke kandang
1117,kekasur,ke kasur
1118,kekecewan,kekecewaan
1119,kekemayoran,ke kemayoran
1120,kekmana,bagaimana
1121,keknya,kayaknya
1122,kekontrakan,ke kontrakan
1123,kekos,ke kos
1124,kekosanku,ke kosanku
1125,kekota,ke kota
1126,kekuasan,kekuasaan
1127,kekumpul,terkumpul
1128,kekunci,terkunci
1129,kekuranganya,kekurangannya
1130,kekuras,terkuras
1131,kelakon,terlaksana
1132,kelaperan,kelaparan
1133,kelaut,ke laut
1134,keleta,kereta
1135,keliatan,kelihatan
1136,keliatannya,kelihatannya
1137,keliatanya,kelihatannya
1138,kelihatanya,kelihatannya
1139,kelindas,terlindas
1140,kelindes,terlindas
1141,kelja,kerja
1142,kelokasi,ke lokasi
1143,keluarin,keluarkan
1144,kemana2,kemana-mana
1145,kemarahanya,kemarahannya
1146,kembaranya,kembarannya
1147,kembgnkan,kembangkan
1148,kemendiknas,Kementerian Pendidikan Nasional
1149,kemenkes,Kementerian Kesehatan
1150,kemenkeu,Kementerian Keuangan
1151,kemenkominfo,Kementerian Komunikasi dan Informatika
1152,kemenkumham,Kementerian Hukum dan Hak Asasi Manusia
1153,kemenong,kemana
1154,kemenpera,Kementerian Perumahan Rakyat
1155,kemenperin,Kementerian Perindustrian
1156,kementrian,Kementerian
1157,kemerdekan,kemerdekaan
1158,kemis,kamis
1159,kemonas,ke monas
1160,kemrin,kemarin
1161,kemulyaan,kemuliaan
1162,kemulyan,kemuliaan
1163,kemusium,ke museum
1164,kenalin,kenalkan
1165,kenang2an,kenang-kenangan
1166,kenang2ngan,kenang-kenangan
1167,kenanganya,kenangannya
1168,kenapah,kenapa
1169,kenapasi,kenapa ya
1170,kenape,kenapa
1171,kenceng,cepat
1172,kendaran,kendaraan
1173,kendaranya,kendaraannya
1174,kenderaan,kendaraan
1175,keno,kena
1176,kenp,kenapa
1177,kenpa,kenapa
1178,kenyatan,kenyataan
1179,kenyatanya,kenyataannya
1180,kepake,terpakai
1181,kepalanye,kepalanya
1182,kepangang,terpanggang
1183,kepanggang,terpanggang
1184,kepantai,ke pantai
1185,kepantainya,ke pantainya
1186,keparis,ke paris
1187,kepasar,ke pasar
1188,kepastianya,kepastiannya
1189,kepencar,terpencar
1190,kepencet,terpencet
1191,kepengen,ingin
1192,kepengenya,keinginannya
1193,kepengin,ingin
1194,kepercayan,kepercayaan
1195,kepercayanya,kepercayaannya
1196,kepilih,terpilih
1197,kepincut,terpincut
1198,kepinteran,kepintaran
